会话,轮次,输入tokens,输出tokens,缓存读取,合计tokens,输入占比,输出占比
tvm_e29_withoutpro,31,573,244,98688,99505,0.6%,0.2%
tvm_e29_withoutpro,32,89,690,99456,100235,0.1%,0.7%
tvm_351_withpro,1,26545,337,0,26882,98.7%,1.3%
tvm_351_withpro,2,397,287,26496,27180,1.5%,1.1%
tvm_351_withpro,3,397,287,26496,27180,1.5%,1.1%
tvm_351_withpro,4,397,287,26496,27180,1.5%,1.1%
tvm_351_withpro,5,397,287,26496,27180,1.5%,1.1%
tvm_351_withpro,6,36049,1046,27136,64231,56.1%,1.6%
tvm_351_withpro,7,36049,1046,27136,64231,56.1%,1.6%
tvm_351_withpro,8,16743,2641,64128,83512,20.0%,3.2%
tvm_351_withpro,9,2755,2522,80768,86045,3.2%,2.9%
tvm_351_withpro,10,2755,2522,80768,86045,3.2%,2.9%
tvm_351_withpro,11,999,184,86016,87199,1.1%,0.2%
tvm_351_withpro,12,16443,398,87168,104009,15.8%,0.4%
tvm_351_withpro,13,16443,398,87168,104009,15.8%,0.4%
tvm_351_withpro,14,19491,6345,103936,129772,15.0%,4.9%
tvm_351_withpro,15,415,750,129664,130829,0.3%,0.6%
tvm_351_withpro,16,792,20290,130048,151130,0.5%,13.4%
tvm_351_withpro,17,10117,1098,151040,162255,6.2%,0.7%
tvm_351_withpro,18,4620,842,162176,167638,2.8%,0.5%
tvm_351_withpro,19,3084,2202,167552,172838,1.8%,1.3%
tvm_351_withpro,20,4819,411,170624,175854,2.7%,0.2%
tvm_351_withpro,21,150,255,175744,176149,0.1%,0.1%
tvm_351_withpro,22,473,276,176128,176877,0.3%,0.2%
tvm_351_withpro,23,149,546,176768,177463,0.1%,0.3%
tvm_351_withoutpro,1,26545,302,0,26847,98.9%,1.1%
tvm_351_withoutpro,2,366,475,26496,27337,1.3%,1.7%
tvm_351_withoutpro,3,366,475,26496,27337,1.3%,1.7%
tvm_351_withoutpro,4,366,475,26496,27337,1.3%,1.7%
tvm_351_withoutpro,5,366,475,26496,27337,1.3%,1.7%
tvm_351_withoutpro,6,366,475,26496,27337,1.3%,1.7%
