candidate_id,testcase_class,source_file
42,org.apache.activemq.transport.auto.AutoTransportConnectionsTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoTransportConnectionsTest.java
43,org.apache.activemq.broker.scheduler.memory.InMemoryJobSchedulerTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/broker/scheduler/memory/InMemoryJobSchedulerTest.java
44,org.apache.activemq.broker.ft.DbRestartJDBCQueueMasterSlaveLeaseTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/broker/ft/DbRestartJDBCQueueMasterSlaveLeaseTest.java
45,org.apache.activemq.transport.stomp.Stomp12NIOSSLTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/Stomp12NIOSSLTest.java
46,org.apache.activemq.transport.mqtt.auto.MQTTAutoNioTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-mqtt/src/test/java/org/apache/activemq/transport/mqtt/auto/MQTTAutoNioTest.java
47,org.apache.activemq.ActiveMQXASslConnectionFactoryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQXASslConnectionFactoryTest.java
48,org.apache.activemq.transport.nio.NIOAsyncSendWithPFCTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/nio/NIOAsyncSendWithPFCTest.java
49,org.apache.activemq.transport.failover.BadConnectionTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/failover/BadConnectionTest.java
50,org.apache.activemq.jmx.JmxCreateNCTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/jmx/JmxCreateNCTest.java
51,org.apache.activemq.command.ActiveMQMessageTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/command/ActiveMQMessageTest.java
52,org.apache.activemq.jms.pool.bugs.AMQ4441Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-jms-pool/src/test/java/org/apache/activemq/jms/pool/bugs/AMQ4441Test.java
53,org.apache.activemq.JmsTopicSendSameMessageTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/JmsTopicSendSameMessageTest.java
54,org.apache.activemq.state.ConnectionStateTrackerTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-client/src/test/java/org/apache/activemq/state/ConnectionStateTrackerTest.java
55,org.apache.activemq.usecases.AMQ6477Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/AMQ6477Test.java
56,org.objectweb.jtests.jms.conform.message.properties.MessagePropertyTest,.
57,org.apache.activemq.bugs.AMQ6522Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ6522Test.java
58,org.apache.activemq.store.kahadb.JournalMetaDataCheckpointTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/JournalMetaDataCheckpointTest.java
59,org.apache.activemq.leveldb.test.LevelDBFastEnqueueTest,.
60,org.apache.activemq.transport.stomp.StompSslAuthTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/StompSslAuthTest.java
61,org.apache.activemq.jaas.CertificateLoginModuleTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-jaas/src/test/java/org/apache/activemq/jaas/CertificateLoginModuleTest.java
62,org.apache.activemq.jmx.TotalMessageCountTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/jmx/TotalMessageCountTest.java
63,org.apache.activemq.bugs.AMQ5381Test,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ5381Test.java
64,org.apache.activemq.transport.failover.FailoverUriTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/transport/failover/FailoverUriTest.java
65,org.apache.activemq.security.JaasDualAuthenticationNetworkBridgeNioSslTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/security/JaasDualAuthenticationNetworkBridgeNioSslTest.java
66,org.apache.activemq.ActiveMQConnectionFactoryTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQConnectionFactoryTest.java
67,org.apache.activemq.store.jdbc.XACompletionTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/store/jdbc/XACompletionTest.java
68,org.apache.activemq.ActiveMQXASslConnectionFactoryVmTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/ActiveMQXASslConnectionFactoryVmTest.java
69,org.apache.activemq.usecases.TwoBrokerVirtualTopicForwardingTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/usecases/TwoBrokerVirtualTopicForwardingTest.java
70,org.apache.activemq.usage.QueueMemoryAndStoreUsageCleanupTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/usage/QueueMemoryAndStoreUsageCleanupTest.java
71,org.apache.activemq.broker.OutOfOrderXMLTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/broker/OutOfOrderXMLTest.java
72,org.apache.activemq.selector.SelectorParserTest,/home/lili/TC_try/ActiveMQ_commit_a37c111a7522ab0307fc2bba877ce820538f5c3c/repo/activemq_git_a37c111a7522ab0307fc2bba877ce820538f5c3c/activemq-unit-tests/src/test/java/org/apache/activemq/selector/SelectorParserTest.java
